key,name.en,slug.en,description.en,externalId,parent.key,parent.typeId,orderHint,metaTitle.en,metaDescription.en,metaKeywords.en,assets.key,assets.name.en,assets.sources.key,assets.sources.uri,assets.sources.contentType,assets.sources.dimensions.w,assets.sources.dimensions.h,assets.description.en,assets.tags
indoor-pots,Indoor Pots ,indoor-pots,"Indoor pots are decorative containers designed to complement your home’s interior while giving your plants a comfortable place to grow. They come in many styles, colors, and materials to match any décor. A good indoor pot offers proper drainage or works as a cover pot for your plant’s nursery pot. They help keep your space tidy, stylish, and plant-friendly.",,,category,4.1,Indoor Pots ,,,,,,,,,,,
,foliage plants ,foliage-plants,"Foliage plants are grown primarily for their attractive leaves, which come in a variety of shapes, colors, and textures. They are generally easy to care for, thriving in bright, indirect light and needing moderate watering. These plants add lush greenery and a refreshing atmosphere to any indoor space. Your foliage plant will arrive in a nursery pot, and you can place it in a decorative pot to enhance its appearance.",,,category,3.3,foliage plants ,"Foliage plants are grown primarily for their attractive leaves, which come in a variety of shapes, colors, and textures. They are generally easy to care for, thriving in bright, indirect light and needing moderate watering. These plants add lush greenery and a refreshing atmosphere to any indoor space. Your foliage plant will arrive in a nursery pot, and you can place it in a decorative pot to enhance its appearance.",,,,,,,,,,
,Indoor plants,indoor-plants,,,,,3,Indoor plants,,,,,,,,,,,
,Pots,pots,,,,,4,Pots,,,,,,,,,,,
,mini cacti,mini-cacti,,,,category,1.1,mini cacti,,,,,,,,,,,
,nursery pots,nursery-pots,"Nursery pots are lightweight, practical containers used for growing and transporting plants. Made from flexible plastic, they promote healthy root development and provide excellent drainage. They’re designed for function rather than style, making them ideal for propagation, repotting, and temporary housing. Many people place nursery pots inside decorative planters to keep plants neat while still allowing easy watering and care.",,,category,4.3,nursery pots,"Nursery pots are lightweight, practical containers used for growing and transporting plants. Made from flexible plastic, they promote healthy root development and provide excellent drainage. They’re designed for function rather than style, making them ideal for propagation, repotting, and temporary housing. Many people place nursery pots inside decorative planters to keep plants neat while still allowing easy watering and care.",,,,,,,,,,
,flowering cacti,flowering-cacti,,,,category,1.2,flowering cacti,,,,,,,,,,,
,hanging plants,hanging-plants,"Hanging plants bring greenery into your space without taking up surface area, making them perfect for small rooms or adding height and softness to interior décor. They often have trailing stems or cascading foliage that looks especially striking when elevated. Most hanging plants prefer bright, indirect light and moderate watering. They come in lightweight hanging pots, and you can place the nursery pot inside a decorative hanger for an easy, stylish display.",,,category,3.1,hanging plants,"Hanging plants bring greenery into your space without taking up surface area, making them perfect for small rooms or adding height and softness to interior décor. They often have trailing stems or cascading foliage that looks especially striking when elevated. Most hanging plants prefer bright, indirect light and moderate watering. They come in lightweight hanging pots, and you can place the nursery pot inside a decorative hanger for an easy, stylish display.",,,,,,,,,,
,succulent sets,succulent-sets,"Succulent sets are curated collections of small, hardy plants, perfect for creating a striking display or gifting. They thrive in bright light and need minimal watering, making them easy to care for. Each plant in the set stores water in its leaves, ensuring longevity even in dry conditions. Your succulent set will arrive in nursery pots, ready to be arranged in decorative pots or trays for a beautiful, low-maintenance display.",,,category,2.2,succulent sets,"Succulent sets are curated collections of small, hardy plants, perfect for creating a striking display or gifting. They thrive in bright light and need minimal watering, making them easy to care for. Each plant in the set stores water in its leaves, ensuring longevity even in dry conditions. Your succulent set will arrive in nursery pots, ready to be arranged in decorative pots or trays for a beautiful, low-maintenance display.",,,,,,,,,,
,orchids,orchids,"Orchids are elegant flowering plants known for their striking, long-lasting blooms and delicate appearance. They thrive in bright, indirect light and prefer well-draining media to keep their roots healthy. Orchids need moderate watering and benefit from humidity, making them ideal for indoor environments. Your orchid will arrive in a nursery pot, ready to be placed in a decorative pot or display for a beautiful, lasting addition to your space.",,,category,3.2,orchids,"Orchids are elegant flowering plants known for their striking, long-lasting blooms and delicate appearance. They thrive in bright, indirect light and prefer well-draining media to keep their roots healthy. Orchids need moderate watering and benefit from humidity, making them ideal for indoor environments. Your orchid will arrive in a nursery pot, ready to be placed in a decorative pot or display for a beautiful, lasting addition to your space.",,,,,,,,,,
,Succulents,succulents,,,,,2,succulents,,,,,,,,,,,
,Cactus,cactus,,,,,1,cactus,,,,,,,,,,,
,cactus set ,cactus-set,,,,category,1.3,cactus set ,,,,,,,,,,,
outdoor-pots,outdoor pots,outdoor-pots,"Outdoor pots are durable containers designed to withstand weather conditions while giving your garden, balcony, or patio a stylish touch. They come in various materials like ceramic, terracotta, fiberstone, and metal, offering both aesthetic appeal and strong support for larger plants. Good outdoor pots provide proper drainage and enough space for healthy root growth. Your plants can be placed directly into these pots or kept in their nursery pots for easy rearranging.",,,category,4.2,outdoor pots,"Outdoor pots are durable containers designed to withstand weather conditions while giving your garden, balcony, or patio a stylish touch. They come in various materials like ceramic, terracotta, fiberstone, and metal, offering both aesthetic appeal and strong support for larger plants. Good outdoor pots provide proper drainage and enough space for healthy root growth. Your plants can be placed directly into these pots or kept in their nursery pots for easy rearranging.",,,,,,,,,,
,Mini succulent,mini-succulent,"Mini succulents are tiny, hardy plants that store water in their thick leaves, making them easy to care for. They thrive in bright light, need very little water, and are perfect for small spaces, desks, or as gifts. Your mini succulent will arrive in a nursery pot, ready to be placed in a decorative pot to brighten any spot",,,category,2.1,Mini succulent,"Mini succulents are tiny, hardy plants that store water in their thick leaves, making them easy to care for. They thrive in bright light, need very little water, and are perfect for small spaces, desks, or as gifts. Your mini succulent will arrive in a nursery pot, ready to be placed in a decorative pot to brighten any spot",,,,,,,,,,